partecipant,auc,meanEDA,stdEDA,kurtEDA,meanDerivative,activity,mobility,complexity,category
4,3237448.86099999,26.9789632666663,3.53716436545076,1.55274576834528,8.28673572279769e-05,12.5115317482147,12.5115317482147,12.5115317482147,12
5,3141546.13749999,16.9280709439976,2.11605185947179,1.46900150112425,-8.56225280469012e-06,4.47767547197401,4.47767547197401,4.47767547197401,1
5,3049771.08299999,25.700470552049,4.51313537042604,1.77501906909344,-0.000121669222860803,20.3683908717906,20.3683908717906,20.3683908717906,3
5,3868151.83749998,26.3589785894375,6.07009723588993,1.95925381748721,-0.000135912340118161,36.8460804531586,36.8460804531586,36.8460804531586,6
5,7216576.60599997,36.6325332081218,6.17808153715344,1.84240845989186,-1.36041299702029e-06,38.1686914797162,38.1686914797162,38.1686914797162,7
5,5463876.95350002,38.0098394156518,2.44456915805154,2.44962509291691,-2.2768854044202e-05,5.97591836849683,5.97591836849683,5.97591836849683,8
5,29337090.4394998,30.5594985083343,7.19845640821457,2.51417755261363,2.1121897001976e-05,51.8177746609653,51.8177746609653,51.8177746609653,11
5,4143931.17399998,34.5329932333332,10.4522954950056,1.58667791038019,0.000162601355011292,109.250481114914,109.250481114914,109.250481114914,12
6,1572619.81899998,8.47398835561442,0.269287786208191,2.42336643045133,-4.3754243407227e-06,0.0725159118009086,0.0725159118009086,0.0725159118009086,1
6,1436376.56250001,12.1043631169575,0.737782491614089,1.97388745765438,-1.85310029831628e-05,0.544323004932293,0.544323004932293,0.544323004932293,3
6,1649549.24949999,11.2406160068144,0.911689198467119,2.01858054922491,-1.85963788509632e-05,0.831177194601618,0.831177194601618,0.831177194601618,6
6,2511063.84450003,12.7465816142131,0.41875168882929,3.18610018835525,1.37056533281891e-07,0.175352976897383,0.175352976897383,0.175352976897383,7
6,1559211.62450001,10.846766024348,0.254388368313596,2.14927698902413,4.55655343689348e-06,0.0647134419332537,0.0647134419332537,0.0647134419332537,8
6,10887996.2575003,11.3416745125003,1.84966502185767,1.78769884665408,-5.25938047852133e-06,3.42126069308374,3.42126069308374,3.42126069308374,11
6,985463.241499998,8.21226172500006,0.156792207735787,2.11402625459646,3.09169243077026e-06,0.0245837964066623,0.0245837964066623,0.0245837964066623,12
7,4608785.05950001,24.8342217660022,1.73160134167193,1.59838891696303,-2.52341283098576e-05,2.99844320648003,2.99844320648003,2.99844320648003,1
7,1714825.90649999,14.450856236359,0.234201094270562,4.21750731175502,3.17698414036033e-06,0.0548501525575284,0.0548501525575284,0.0548501525575284,3
7,3819929.08200001,26.0303536967632,2.54763260725759,1.8856573079736,-5.80855746887543e-05,6.4904319015621,6.4904319015621,6.4904319015621,6
7,3815661.57599998,19.3689357563455,4.55930513881611,1.55829383932588,5.86195869014564e-05,20.787263348835,20.787263348835,20.787263348835,7
7,3210277.2835,22.3325305460868,2.44871305320542,3.35043329766262,3.12697827463148e-05,5.99619561693863,5.99619561693863,5.99619561693863,8
7,20931792.3949999,21.8039811333338,5.30670678458028,1.97415697591995,1.2708346571194e-07,28.1611368975104,28.1611368975104,28.1611368975104,11
7,2245996.13449999,18.7168073916666,1.30079391851048,1.72739691086833,-5.34171118092652e-06,1.69206481843386,1.69206481843386,1.69206481843386,12
8,2723220.53849999,14.6739449949612,0.294436491690179,6.03336811740661,-3.03369938894936e-06,0.0866928476388209,0.0866928476388209,0.0866928476388209,1
8,2293767.56500001,19.3296103550274,0.947354593877059,2.46087264452923,-2.61743043500244e-05,0.897480726539967,0.897480726539967,0.897480726539967,3
8,2943544.46300002,20.0583592981258,1.36662308820662,1.81881883178122,-3.05692031972961e-05,1.86765866521939,1.86765866521939,1.86765866521939,6
8,5696191.83650001,28.914824649746,11.0706934064105,1.35317350442465,0.000131924527535673,122.56025249874,122.56025249874,122.56025249874,7
8,3304624.12950001,22.9888768417391,4.74488682551734,2.85437647919788,0.000112174693389171,22.513950986968,22.513950986968,22.513950986968,8
8,19574478.5119999,20.3901040614583,6.78597835659604,4.84801738650809,-5.17083871962366e-06,46.0495022561899,46.0495022561899,46.0495022561899,11
8,4078034.01949998,33.983902425,0.946612116677982,3.15469173052264,-1.16584304869207e-05,0.896074499441568,0.896074499441568,0.896074499441568,12
9,4015657.96649999,21.6381753285596,2.20792378040048,1.49320240327525,-7.07503960513411e-06,4.87492742005795,4.87492742005795,4.87492742005795,1
9,2690587.0695,22.6736021556119,1.25320600598966,2.46830564149934,-2.33512547823302e-05,1.57052529344856,1.57052529344856,1.57052529344856,3
